Unnamed: 0,store,day_of_week,date,sales,promo,state_holiday,school_holiday,store_type,assortment,competition_distance,competition_open_since_month,competition_open_since_year,promo2,promo2_since_week,promo2_since_year,is_promo,year,month,week_of_year,year_week,competition_since,competition_time_month,promo_since,promo_time_week,day
840058,174,6,2013-01-05,4595,0,regular_day,0,a,basic,13090,1,2013,1,22,2012,1,2013,1,1,2013-00,2013-01-01,0,2012-05-21,32,5
840059,175,6,2013-01-05,5488,0,regular_day,0,c,basic,4130,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840060,176,6,2013-01-05,3355,0,regular_day,0,a,basic,3770,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840061,177,6,2013-01-05,1426,0,regular_day,0,a,basic,1250,2,2004,1,5,2013,0,2013,1,1,2013-00,2004-02-01,108,2013-01-28,-4,5
840062,178,6,2013-01-05,6955,0,regular_day,0,d,basic,1710,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840063,179,6,2013-01-05,6185,0,regular_day,0,a,extended,480,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840064,180,6,2013-01-05,6865,0,regular_day,0,d,basic,5800,9,2010,0,1,2013,0,2013,1,1,2013-00,2010-09-01,28,2012-12-31,0,5
840065,181,6,2013-01-05,3389,0,regular_day,0,a,basic,12610,3,2013,1,14,2011,1,2013,1,1,2013-00,2013-03-01,-2,2011-03-28,92,5
840066,182,6,2013-01-05,4019,0,regular_day,1,d,extended,1390,1,2013,1,9,2011,0,2013,1,1,2013-00,2013-01-01,0,2011-02-21,97,5
840067,183,6,2013-01-05,2337,0,regular_day,0,a,basic,9670,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840068,184,6,2013-01-05,4983,0,regular_day,0,d,extended,3560,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840069,185,6,2013-01-05,7082,0,regular_day,0,d,extended,1860,5,2015,0,1,2013,0,2013,1,1,2013-00,2015-05-01,-29,2012-12-31,0,5
840070,186,6,2013-01-05,3054,0,regular_day,0,a,basic,290,10,2011,1,40,2014,1,2013,1,1,2013-00,2011-10-01,15,2014-09-29,-91,5
840071,187,6,2013-01-05,3427,0,regular_day,0,a,extended,19360,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840072,188,6,2013-01-05,4339,0,regular_day,0,d,basic,850,1,2013,1,18,2011,0,2013,1,1,2013-00,2013-01-01,0,2011-04-25,88,5
840073,189,6,2013-01-05,7818,0,regular_day,0,d,basic,5760,7,2014,0,1,2013,0,2013,1,1,2013-00,2014-07-01,-19,2012-12-31,0,5
840074,190,6,2013-01-05,4635,0,regular_day,0,a,basic,1470,12,2006,1,40,2014,1,2013,1,1,2013-00,2006-12-01,74,2014-09-29,-91,5
840075,191,6,2013-01-05,7385,0,regular_day,0,a,basic,1100,8,2013,1,40,2014,1,2013,1,1,2013-00,2013-08-01,-7,2014-09-29,-91,5
840076,192,6,2013-01-05,5609,0,regular_day,0,d,extended,2770,3,2008,1,40,2014,1,2013,1,1,2013-00,2008-03-01,59,2014-09-29,-91,5
840077,193,6,2013-01-05,3873,0,regular_day,0,a,basic,520,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840078,194,6,2013-01-05,4292,0,regular_day,0,d,extended,16970,1,2013,1,5,2013,0,2013,1,1,2013-00,2013-01-01,0,2013-01-28,-4,5
840079,195,6,2013-01-05,10502,0,regular_day,0,a,extended,220,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840080,196,6,2013-01-05,3124,0,regular_day,0,c,basic,3850,11,2005,1,14,2011,1,2013,1,1,2013-00,2005-11-01,87,2011-03-28,92,5
840081,197,6,2013-01-05,5843,0,regular_day,0,c,basic,4210,3,2015,0,1,2013,0,2013,1,1,2013-00,2015-03-01,-27,2012-12-31,0,5
840082,198,6,2013-01-05,1032,0,regular_day,0,a,basic,290,9,2002,1,13,2010,1,2013,1,1,2013-00,2002-09-01,125,2010-03-22,145,5
840083,199,6,2013-01-05,6927,0,regular_day,0,d,extended,6360,12,2010,1,14,2012,0,2013,1,1,2013-00,2010-12-01,25,2012-03-26,40,5
840084,200,6,2013-01-05,6383,0,regular_day,0,a,basic,1650,10,2000,0,1,2013,0,2013,1,1,2013-00,2000-10-01,149,2012-12-31,0,5
840085,201,6,2013-01-05,5330,0,regular_day,0,d,basic,20260,1,2013,1,18,2014,0,2013,1,1,2013-00,2013-01-01,0,2014-04-28,-69,5
840086,202,6,2013-01-05,4687,0,regular_day,1,d,extended,5140,5,2010,0,1,2013,0,2013,1,1,2013-00,2010-05-01,32,2012-12-31,0,5
840087,203,6,2013-01-05,5073,0,regular_day,0,c,extended,490,11,2002,0,1,2013,0,2013,1,1,2013-00,2002-11-01,123,2012-12-31,0,5
840088,204,6,2013-01-05,3878,0,regular_day,0,a,basic,5630,12,2002,1,40,2014,1,2013,1,1,2013-00,2002-12-01,122,2014-09-29,-91,5
840089,205,6,2013-01-05,6594,0,regular_day,0,a,basic,110,12,2007,0,1,2013,0,2013,1,1,2013-00,2007-12-01,62,2012-12-31,0,5
840090,206,6,2013-01-05,3173,0,regular_day,0,a,extended,380,1,2013,1,14,2012,1,2013,1,1,2013-00,2013-01-01,0,2012-03-26,40,5
840091,207,6,2013-01-05,8571,0,regular_day,0,a,basic,6870,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840092,208,6,2013-01-05,3566,0,regular_day,0,c,basic,300,4,2006,0,1,2013,0,2013,1,1,2013-00,2006-04-01,82,2012-12-31,0,5
840093,209,6,2013-01-05,3964,0,regular_day,0,a,extended,11680,9,2011,1,31,2013,1,2013,1,1,2013-00,2011-09-01,16,2013-07-29,-30,5
840094,210,6,2013-01-05,2762,0,regular_day,0,d,basic,970,11,1999,1,5,2013,0,2013,1,1,2013-00,1999-11-01,160,2013-01-28,-4,5
840095,211,6,2013-01-05,11563,0,regular_day,0,a,extended,350,11,2006,0,1,2013,0,2013,1,1,2013-00,2006-11-01,75,2012-12-31,0,5
840096,212,6,2013-01-05,3425,0,regular_day,0,a,extended,15050,9,2008,0,1,2013,0,2013,1,1,2013-00,2008-09-01,52,2012-12-31,0,5
840097,213,6,2013-01-05,5586,0,regular_day,0,d,extended,4030,3,2014,1,1,2014,1,2013,1,1,2013-00,2014-03-01,-14,2013-12-30,-52,5
840098,214,6,2013-01-05,9012,0,regular_day,0,d,basic,8650,7,2013,1,10,2014,1,2013,1,1,2013-00,2013-07-01,-6,2014-03-03,-61,5
840099,215,6,2013-01-05,5908,0,regular_day,0,d,basic,150,1,2013,1,45,2009,0,2013,1,1,2013-00,2013-01-01,0,2009-11-02,165,5
840100,216,6,2013-01-05,6166,0,regular_day,0,c,basic,190,1,2013,1,45,2009,0,2013,1,1,2013-00,2013-01-01,0,2009-11-02,165,5
840101,217,6,2013-01-05,3675,0,regular_day,0,c,basic,3150,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840102,218,6,2013-01-05,2882,0,regular_day,0,a,extended,640,1,2013,1,9,2011,0,2013,1,1,2013-00,2013-01-01,0,2011-02-21,97,5
840103,219,6,2013-01-05,1912,0,regular_day,0,a,basic,1640,2,2013,0,1,2013,0,2013,1,1,2013-00,2013-02-01,-1,2012-12-31,0,5
840104,220,6,2013-01-05,3021,0,regular_day,0,a,basic,1000,9,2008,0,1,2013,0,2013,1,1,2013-00,2008-09-01,52,2012-12-31,0,5
840105,221,6,2013-01-05,4831,0,regular_day,0,d,extended,13530,9,2013,0,1,2013,0,2013,1,1,2013-00,2013-09-01,-8,2012-12-31,0,5
840106,222,6,2013-01-05,3868,0,regular_day,0,a,basic,2170,11,2008,0,1,2013,0,2013,1,1,2013-00,2008-11-01,50,2012-12-31,0,5
840107,223,6,2013-01-05,4741,0,regular_day,0,d,extended,2920,10,1995,1,27,2011,1,2013,1,1,2013-00,1995-10-01,210,2011-06-27,79,5
840108,224,6,2013-01-05,5232,0,regular_day,0,d,extended,7930,1,2013,1,1,2013,1,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840109,225,6,2013-01-05,3165,0,regular_day,0,d,basic,10180,5,2015,0,1,2013,0,2013,1,1,2013-00,2015-05-01,-29,2012-12-31,0,5
840110,226,6,2013-01-05,6239,0,regular_day,1,a,basic,450,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840111,227,6,2013-01-05,3675,0,regular_day,0,a,basic,2370,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840112,228,6,2013-01-05,7080,0,regular_day,0,d,extended,10800,1,2013,1,18,2011,0,2013,1,1,2013-00,2013-01-01,0,2011-04-25,88,5
840113,229,6,2013-01-05,6773,0,regular_day,0,d,extended,17410,4,2007,1,14,2011,1,2013,1,1,2013-00,2007-04-01,70,2011-03-28,92,5
840114,230,6,2013-01-05,6590,0,regular_day,0,d,extended,6680,9,2013,0,1,2013,0,2013,1,1,2013-00,2013-09-01,-8,2012-12-31,0,5
840115,231,6,2013-01-05,3644,0,regular_day,0,d,extended,3840,10,2008,1,39,2010,0,2013,1,1,2013-00,2008-10-01,51,2010-09-20,119,5
840116,232,6,2013-01-05,715,0,regular_day,0,c,extended,13570,5,2010,1,10,2013,0,2013,1,1,2013-00,2010-05-01,32,2013-03-04,-9,5
840117,233,6,2013-01-05,7181,0,regular_day,1,a,basic,1890,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840118,234,6,2013-01-05,9576,0,regular_day,0,d,basic,4370,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840119,235,6,2013-01-05,3363,0,regular_day,1,a,basic,5710,3,2012,1,37,2009,1,2013,1,1,2013-00,2012-03-01,10,2009-09-07,173,5
840120,236,6,2013-01-05,4452,0,regular_day,0,a,basic,1000,11,2007,0,1,2013,0,2013,1,1,2013-00,2007-11-01,63,2012-12-31,0,5
840121,237,6,2013-01-05,4034,0,regular_day,0,a,basic,1420,11,2007,0,1,2013,0,2013,1,1,2013-00,2007-11-01,63,2012-12-31,0,5
840122,238,6,2013-01-05,5308,0,regular_day,0,a,basic,320,1,2013,1,45,2009,0,2013,1,1,2013-00,2013-01-01,0,2009-11-02,165,5
840123,239,6,2013-01-05,4540,0,regular_day,0,d,extended,610,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840124,240,6,2013-01-05,3611,0,regular_day,0,a,basic,1110,5,2009,0,1,2013,0,2013,1,1,2013-00,2009-05-01,44,2012-12-31,0,5
840125,241,6,2013-01-05,5837,0,regular_day,0,d,extended,780,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840126,242,6,2013-01-05,2980,0,regular_day,1,d,basic,6880,9,2001,1,14,2011,1,2013,1,1,2013-00,2001-09-01,138,2011-03-28,92,5
840127,243,6,2013-01-05,4660,0,regular_day,0,a,basic,310,1,2013,1,5,2013,0,2013,1,1,2013-00,2013-01-01,0,2013-01-28,-4,5
840128,244,6,2013-01-05,5056,0,regular_day,0,d,basic,710,3,2012,1,1,2012,1,2013,1,1,2013-00,2012-03-01,10,2011-12-26,53,5
840129,245,6,2013-01-05,7639,0,regular_day,1,a,extended,1310,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840130,246,6,2013-01-05,5913,0,regular_day,0,c,basic,4660,4,2013,0,1,2013,0,2013,1,1,2013-00,2013-04-01,-3,2012-12-31,0,5
840131,247,6,2013-01-05,6715,0,regular_day,1,d,extended,70,11,2010,1,5,2013,0,2013,1,1,2013-00,2010-11-01,26,2013-01-28,-4,5
840132,248,6,2013-01-05,7494,0,regular_day,0,a,extended,340,9,2012,1,40,2012,1,2013,1,1,2013-00,2012-09-01,4,2012-09-24,14,5
840133,249,6,2013-01-05,4535,0,regular_day,0,d,extended,18010,9,2014,0,1,2013,0,2013,1,1,2013-00,2014-09-01,-21,2012-12-31,0,5
840134,250,6,2013-01-05,6914,0,regular_day,1,d,basic,3520,1,2013,1,18,2012,0,2013,1,1,2013-00,2013-01-01,0,2012-04-23,36,5
840135,251,6,2013-01-05,18214,0,regular_day,0,a,extended,340,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840136,252,6,2013-01-05,9640,0,regular_day,0,d,extended,22330,1,2013,1,5,2010,0,2013,1,1,2013-00,2013-01-01,0,2010-01-25,153,5
840137,253,6,2013-01-05,3832,0,regular_day,0,a,extended,250,1,2013,1,5,2013,0,2013,1,1,2013-00,2013-01-01,0,2013-01-28,-4,5
840138,254,6,2013-01-05,2811,0,regular_day,0,d,basic,330,3,2008,1,1,2012,0,2013,1,1,2013-00,2008-03-01,59,2011-12-26,53,5
840139,255,6,2013-01-05,6233,0,regular_day,0,c,extended,4630,3,2011,1,35,2011,0,2013,1,1,2013-00,2011-03-01,22,2011-08-22,71,5
840140,256,6,2013-01-05,9085,0,regular_day,0,a,extended,80,9,2005,1,10,2014,0,2013,1,1,2013-00,2005-09-01,89,2014-03-03,-61,5
840141,257,6,2013-01-05,2997,0,regular_day,0,a,basic,420,12,2012,0,1,2013,0,2013,1,1,2013-00,2012-12-01,1,2012-12-31,0,5
840142,258,6,2013-01-05,3946,0,regular_day,0,a,basic,27190,7,2010,1,37,2009,1,2013,1,1,2013-00,2010-07-01,30,2009-09-07,173,5
840143,259,6,2013-01-05,3912,0,regular_day,1,b,extra,210,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840144,260,6,2013-01-05,6428,0,regular_day,0,a,basic,540,10,2011,0,1,2013,0,2013,1,1,2013-00,2011-10-01,15,2012-12-31,0,5
840145,261,6,2013-01-05,6916,0,regular_day,0,d,extended,15340,4,2015,1,39,2009,1,2013,1,1,2013-00,2015-04-01,-28,2009-09-21,171,5
840146,262,6,2013-01-05,14868,0,regular_day,0,b,basic,1180,5,2013,0,1,2013,0,2013,1,1,2013-00,2013-05-01,-4,2012-12-31,0,5
840147,263,6,2013-01-05,3521,0,regular_day,0,a,extended,1140,5,2013,1,40,2014,1,2013,1,1,2013-00,2013-05-01,-4,2014-09-29,-91,5
840148,264,6,2013-01-05,7274,0,regular_day,0,a,basic,180,3,2014,0,1,2013,0,2013,1,1,2013-00,2014-03-01,-14,2012-12-31,0,5
840149,265,6,2013-01-05,2272,0,regular_day,0,a,basic,4580,1,2013,1,14,2015,1,2013,1,1,2013-00,2013-01-01,0,2015-03-30,-117,5
840150,266,6,2013-01-05,2342,0,regular_day,0,a,extended,360,3,2014,1,9,2011,0,2013,1,1,2013-00,2014-03-01,-14,2011-02-21,97,5
840151,267,6,2013-01-05,10448,0,regular_day,0,c,basic,2460,1,2012,0,1,2013,0,2013,1,1,2013-00,2012-01-01,12,2012-12-31,0,5
840152,268,6,2013-01-05,3684,0,regular_day,0,a,basic,4520,2,2014,0,1,2013,0,2013,1,1,2013-00,2014-02-01,-14,2012-12-31,0,5
840153,269,6,2013-01-05,6383,0,regular_day,0,a,extended,60,6,2015,0,1,2013,0,2013,1,1,2013-00,2015-06-01,-30,2012-12-31,0,5
840154,270,6,2013-01-05,8046,0,regular_day,0,a,basic,1450,7,2014,0,1,2013,0,2013,1,1,2013-00,2014-07-01,-19,2012-12-31,0,5
840155,271,6,2013-01-05,2487,0,regular_day,0,a,basic,420,1,2013,1,14,2011,1,2013,1,1,2013-00,2013-01-01,0,2011-03-28,92,5
840156,272,6,2013-01-05,3336,0,regular_day,1,a,basic,16180,7,2003,1,14,2011,1,2013,1,1,2013-00,2003-07-01,115,2011-03-28,92,5
840157,273,6,2013-01-05,4773,0,regular_day,0,a,extended,8480,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840158,274,6,2013-01-05,2057,0,regular_day,1,b,extra,3640,1,2013,1,10,2013,1,2013,1,1,2013-00,2013-01-01,0,2013-03-04,-9,5
840159,275,6,2013-01-05,6201,0,regular_day,0,d,basic,300,5,2014,1,40,2014,1,2013,1,1,2013-00,2014-05-01,-17,2014-09-29,-91,5
840160,276,6,2013-01-05,1934,0,regular_day,0,a,basic,2960,10,2014,1,36,2013,0,2013,1,1,2013-00,2014-10-01,-22,2013-09-02,-35,5
840161,277,6,2013-01-05,5545,0,regular_day,0,d,extended,7840,1,2013,1,31,2009,0,2013,1,1,2013-00,2013-01-01,0,2009-07-27,179,5
840162,278,6,2013-01-05,4935,0,regular_day,0,a,extended,9260,2,2010,0,1,2013,0,2013,1,1,2013-00,2010-02-01,35,2012-12-31,0,5
840163,279,6,2013-01-05,7470,0,regular_day,0,d,extended,2320,1,2013,1,40,2012,1,2013,1,1,2013-00,2013-01-01,0,2012-09-24,14,5
840164,280,6,2013-01-05,5039,0,regular_day,0,d,extended,18640,9,2013,1,10,2014,0,2013,1,1,2013-00,2013-09-01,-8,2014-03-03,-61,5
840165,281,6,2013-01-05,5922,0,regular_day,0,d,extended,6970,9,2011,0,1,2013,0,2013,1,1,2013-00,2011-09-01,16,2012-12-31,0,5
840166,282,6,2013-01-05,3069,0,regular_day,0,a,basic,1220,12,2010,0,1,2013,0,2013,1,1,2013-00,2010-12-01,25,2012-12-31,0,5
840167,283,6,2013-01-05,5719,0,regular_day,0,a,basic,2260,1,2013,1,40,2014,1,2013,1,1,2013-00,2013-01-01,0,2014-09-29,-91,5
840168,284,6,2013-01-05,4944,0,regular_day,0,d,basic,1290,1,2013,1,40,2014,1,2013,1,1,2013-00,2013-01-01,0,2014-09-29,-91,5
840169,285,6,2013-01-05,5252,0,regular_day,1,a,basic,2410,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840170,286,6,2013-01-05,2320,0,regular_day,0,a,basic,1460,4,2015,0,1,2013,0,2013,1,1,2013-00,2015-04-01,-28,2012-12-31,0,5
840171,287,6,2013-01-05,8566,0,regular_day,0,c,basic,2740,5,2009,1,40,2014,1,2013,1,1,2013-00,2009-05-01,44,2014-09-29,-91,5
